fault	openinference_conformant_basis	otel_genai_conformant_basis	dsm_basis	fairness_note	audit_status
wrong_tool	tool.name plus expected_tool	tool.name plus expected_tool	tool.name plus expected_tool	Uses benchmark expected_tool oracle for all metamodels.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
tool_failure	status/error fields	status/error fields	status/error fields	Same operational evidence across metamodels.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
timeout	duration/timeout/status fields	duration/timeout/status fields	duration/timeout/status fields	Same operational evidence across metamodels.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
infinite_loop	repeated tool.name	repeated tool.name	repeated tool.name	Same detector; adapter emissions determine realized cells.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
context_overflow	token count/context limit	token count/context limit	token count/context limit	Same LLM metadata evidence.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
cost_explosion	cost plus configured budget	cost plus configured budget	cost plus configured budget	Uses benchmark budget oracle for all metamodels.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
circular_delegation	no conformant typed source/target edge	no conformant typed source/target edge	DELEGATION source/target	OpenInference handoff is counted only when emitted by surveyed OpenAI profile through DSM-equivalent realized row.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
agent_misroute	no conformant owner/recipient typed memory edge	no conformant owner/recipient typed memory edge	MEMORY owner/agent mismatch	Requires DSM memory ownership field.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
planning_failure	no conformant planning status in exercised kinds	no conformant planning status in current registry	PLANNING status/executable_steps	PROMPT/EVALUATOR counterfactual is optional and out of paper.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
reasoning_loop	output-message repetition for OI extended	reasoning token usage for GenAI extended	REASONING step hash	Baseline extended rules use only published generic fields; DSM uses typed reasoning state.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
guardrail_bypass	GUARDRAIL name/kind only under permissive; no bypass outcome	GUARDRAIL name only under permissive	GUARD_RAIL result	OpenAI profile emits guardrail.triggered in realized DSM-equivalent profile.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
hallucination	no conformant verifier-role field	no conformant verifier-role field	AGENT role plus verification result	Uses benchmark evaluator verdict; flagged oracle in telemetry_field_audit.tsv.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
memory_corruption	no conformant memory corruption field	no conformant memory corruption field	MEMORY corrupt flag	Uses benchmark corruption flag; flagged oracle.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
stale_retrieval	no published staleness field	no published staleness field	RETRIEVAL staleness_seconds	Uses benchmark document-age field; flagged oracle.	Author-internal audit only; external OpenInference/OTel practitioner audit not yet obtained.
