issue	fault_type	verdict	evidence_type	reconstructible
langchain-ai/langchain#26019	infinite_loop	insufficient_evidence	narrative_only	False
langchain-ai/langgraph#6731	infinite_loop	reconstructible	log_excerpt	True
langchain-ai/langchain#12264	context_overflow	reconstructible	narrative_only	True
langchain-ai/langchain#11405	context_overflow	reconstructible	log_excerpt	True
crewAIInc/crewAI#330	circular_delegation	reconstructible	narrative_only	True
langchain-ai/langchain-aws#277	tool_failure	reconstructible	log_excerpt	True
crewAIInc/crewAI#2762	stale_retrieval	insufficient_evidence	log_excerpt	False
crewAIInc/crewAI#3169	stale_retrieval	insufficient_evidence	log_excerpt	False
langchain-ai/langchain#3354	stale_retrieval	reconstructible	narrative_only	True
langchain-ai/langchain#21592	guardrail_bypass	reconstructible	log_excerpt	True
langchain-ai/langchain#21951	guardrail_bypass	reconstructible	log_excerpt	True
NVIDIA/NeMo-Guardrails#1413	guardrail_bypass	insufficient_evidence	log_excerpt	False
NVIDIA/NeMo-Guardrails#1485	guardrail_bypass	reconstructible	log_excerpt	True
crewAIInc/crewAI#827	memory_corruption	reconstructible	narrative_only	True
crewAIInc/crewAI#4389	memory_corruption	insufficient_evidence	log_excerpt	False
crewAIInc/crewAI#2753	memory_corruption	reconstructible	narrative_only	True
crewAIInc/crewAI#4822	memory_corruption	insufficient_evidence	log_excerpt	False
