fault	annotator_1	annotator_2	consensus
wrong_tool	FM-2.6	FM-2.6	FM-2.6
hallucination	FM-3.3	FM-3.3	FM-3.3
infinite_loop	FM-1.5	FM-1.5	FM-1.5
context_overflow	FM-1.4	FM-1.4	FM-1.4
circular_delegation	FM-2.1	FM-2.1	FM-2.1
tool_failure	FM-3.2	FM-3.2	FM-3.2
timeout	FM-3.1	FM-3.1	FM-3.1
stale_retrieval	FM-2.4	FM-2.6	FM-2.4
guardrail_bypass	FM-3.2	FM-3.2	FM-3.2
planning_failure	FM-1.1	FM-1.1	FM-1.1
reasoning_loop	FM-1.3	FM-1.3	FM-1.3
agent_misroute	FM-2.5	FM-2.2	FM-2.5
memory_corruption	FM-2.3	FM-2.3	FM-2.3
