adapter	kind	decision	commit	evidence_type	source_lines	rationale
langchain	LLM_CALL	included	1519ed5afbc3bfcc7170b12baa07f1ae7e98edd0	positive	libs/core/langchain_core/callbacks/base.py:279 def on_llm_start; libs/core/langchain_core/callbacks/base.py:308 def on_chat_model_start; libs/core/langchain_core/tracers/core.py:238 run_type="llm"; libs/core/langchain_core/tracers/event_stream.py:333 run_type = "chat_model"; libs/core/langchain_core/tracers/event_stream.py:375 run_type = "llm"	Stable LLM/chat callbacks and run_type values support the LLM_CALL diagnostic evidence used for context-overflow and cost faults.
langchain	TOOL_CALL	included	1519ed5afbc3bfcc7170b12baa07f1ae7e98edd0	positive	libs/core/langchain_core/callbacks/base.py:406 def on_tool_start; libs/core/langchain_core/callbacks/base.py:241 def on_tool_end; libs/core/langchain_core/tracers/core.py:469 run_type="tool"; libs/core/langchain_core/tracers/core.py:480 tool_run = self._get_run(run_id, run_type="tool")	Stable tool callbacks and run_type values support the TOOL_CALL diagnostic evidence used for wrong-tool, tool-failure, timeout, and repeated-tool faults.
langchain	RETRIEVAL	included	1519ed5afbc3bfcc7170b12baa07f1ae7e98edd0	positive	libs/core/langchain_core/callbacks/base.py:360 def on_retriever_start; libs/core/langchain_core/callbacks/base.py:44 def on_retriever_end; libs/core/langchain_core/tracers/core.py:527 run_type="retriever"; libs/core/langchain_core/tracers/core.py:536 retrieval_run = self._get_run(run_id, run_type="retriever")	Retriever callbacks support a generic retrieval kind, but the benchmark does not credit stale-retrieval detection without a staleness/age field.
langchain	AGENT;PLANNING;DELEGATION;GUARD_RAIL;MEMORY	excluded	1519ed5afbc3bfcc7170b12baa07f1ae7e98edd0	scoped_negative	libs/core/langchain_core/tracers/core.py:373 run_type=run_type or "chain"; scoped grep: git grep -n -E 'agent.role|plan.status|delegation.source|guardrail.result|memory.owner|staleness' libs/core/langchain_core/callbacks libs/core/langchain_core/tracers -> no diagnostic field matches	Chain/run metadata is not counted as a DSM AGENT, PLANNING, DELEGATION, GUARD_RAIL, or MEMORY diagnostic kind without the detector-specific fields.
langchain	REASONING	excluded	1519ed5afbc3bfcc7170b12baa07f1ae7e98edd0	excluded_optional_signal	libs/core/langchain_core/callbacks/usage.py:40 output_token_details': {'audio': 0, 'reasoning': 0}; libs/core/langchain_core/callbacks/usage.py:128 "output_token_details": {"audio": 0, "reasoning": 0}	Reasoning token accounting is not a typed reasoning-step span and does not expose repeated reasoning-state hashes, so it is not counted as DSM REASONING coverage.
llamaindex	AGENT	included	d601b0f36af4f6362375eefeda509d1070340652	positive	llama-index-core/llama_index/core/callbacks/schema.py:46 AGENT_STEP = "agent_step"	AGENT_STEP is counted as agent-step evidence in the benchmark profile.
llamaindex	LLM_CALL	included	d601b0f36af4f6362375eefeda509d1070340652	positive	llama-index-core/llama_index/core/callbacks/schema.py:24 LLM logs for template and response; llama-index-core/llama_index/core/callbacks/schema.py:36 LLM = "llm"; llama-index-core/llama_index/core/llms/callbacks.py:68 CBEventType.LLM; llama-index-core/llama_index/core/llms/callbacks.py:82 CBEventType.LLM	LLM callback events support LLM_CALL diagnostic evidence.
llamaindex	TOOL_CALL	included	d601b0f36af4f6362375eefeda509d1070340652	positive	llama-index-core/llama_index/core/callbacks/schema.py:43 FUNCTION_CALL = "function_call"; llama-index-core/llama_index/core/callbacks/schema.py:63 FUNCTION_CALL = "function_call"; llama-index-core/llama_index/core/callbacks/schema.py:65 TOOL = "tool"	Function-call and tool payload keys support tool-call evidence in the benchmark profile.
llamaindex	RETRIEVAL	included	d601b0f36af4f6362375eefeda509d1070340652	positive	llama-index-core/llama_index/core/callbacks/schema.py:26 RETRIEVE logs nodes retrieved for a query; llama-index-core/llama_index/core/callbacks/schema.py:38 RETRIEVE = "retrieve"; llama-index-core/llama_index/core/base/base_retriever.py:213 CBEventType.RETRIEVE; llama-index-core/llama_index/core/base/base_retriever.py:244 CBEventType.RETRIEVE	Generic retrieval is present, but stale-retrieval detection is not credited without a document-age/staleness field.
llamaindex	PLANNING;DELEGATION;GUARD_RAIL;MEMORY;STALE_RETRIEVAL	excluded	d601b0f36af4f6362375eefeda509d1070340652	scoped_negative	scoped grep: git grep -n -E 'plan.status|delegation.source|handoff|guardrail.result|memory.owner|staleness' llama-index-core/llama_index/core/callbacks llama-index-core/llama_index/core/base llama-index-core/llama_index/core/llms -> no detector-specific field matches	The callback schema lacks the detector-specific DSM fields for these kinds in the benchmark profile.
