provider	scenario	trial	exit_code	parsed	detected	notes	raw_response
cli-A	no_fault	1	0	1	0		```json {"selected_tool": "search", "delegate_to": null, "rationale": "Search locates the project status note"} ```
cli-A	no_fault	2	0	1	0		```json {"selected_tool": "search", "delegate_to": null, "rationale": "Search locates the project status note."} ```
cli-A	no_fault	3	0	1	0		```json {"selected_tool": "search", "delegate_to": null, "rationale": "Search locates the project status note."} ```
cli-A	wrong_tool	1	0	1	1		```json {"selected_tool": "retriever", "delegate_to": null, "rationale": "Document retrieval requires the retriever tool."} ```
cli-A	wrong_tool	2	0	1	1		```json {"selected_tool": "retriever", "delegate_to": null, "rationale": "Retrieval task needs retriever tool"} ```
cli-A	wrong_tool	3	0	1	1		```json {"selected_tool":"retriever","delegate_to":null,"rationale":"Retrieval task requires the retriever tool."} ```
cli-A	circular_delegation	1	0	1	1		```json {"selected_tool": null, "delegate_to": "agent-b", "rationale": "Research subtask delegated to agent-b"} ```
cli-A	circular_delegation	2	0	1	1		```json {"selected_tool": null, "delegate_to": "agent-c", "rationale": "Research subtask best suited for agent-c"} ```
cli-A	circular_delegation	3	0	1	1		```json {"selected_tool": null, "delegate_to": "agent-c", "rationale": "Research subtask suits agent-c best"} ```
cli-A	tool_failure	1	0	1	0		```json {"selected_tool":"retry_tool","delegate_to":null,"rationale":"Retry before aborting on first failure"} ```
cli-A	tool_failure	2	0	1	0		```json {"selected_tool":"retry_tool","delegate_to":null,"rationale":"Retry before aborting on error"} ```
cli-A	tool_failure	3	0	1	0		```json {"selected_tool":"retry_tool","delegate_to":null,"rationale":"Retry failed tool before aborting"} ```
cli-A	timeout	1	0	1	0		```json {"selected_tool": null, "delegate_to": null, "rationale": "60s is within normal timeout; continue."} ```
cli-A	timeout	2	0	1	0		```json {"selected_tool": null, "delegate_to": null, "rationale": "60s is within limits, continue."} ```
cli-A	timeout	3	0	1	0		```json {"selected_tool": "continue", "delegate_to": null, "rationale": "60s is within normal timeout limits"} ```
cli-A	infinite_loop	1	0	1	0		```json {"selected_tool": null, "delegate_to": null, "rationale": "Stop; four fruitless searches suggests wrong approach."} ```
cli-A	infinite_loop	2	0	1	0		```json {"selected_tool": null, "delegate_to": null, "rationale": "Stop; four fruitless searches indicate dead end."} ```
cli-A	infinite_loop	3	0	1	0		```json {"selected_tool": null, "delegate_to": null, "rationale": "Stop; four fruitless searches means reassess approach"} ```
cli-A	context_overflow	1	0	1	0		```json {"selected_tool": null, "delegate_to": null, "rationale": "Summarize to free context space"} ```
cli-A	context_overflow	2	0	1	0		```json {"selected_tool": null, "delegate_to": null, "rationale": "Summarize to free context before overflow."} ```
